LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,485tx_en SMD,,,TOTAL,
,,,,,,10/30/18 (18250^1) ,,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C2 C3,3,C-C,0603X7R50V104K,YAGEO@CC0603KRX7R9BB104,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,Q1,1,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C6*I6,IRRIGATE7
3,R1 R3 R4 R5,4,R-C,0805KX3011,YAGEO@RC0805FR-073K01L,RESISTOR CHIP 1% 3K01OHM 0805,(1),0.0064,=C7*I7,ADPT
4,R2,1,R-C,0805KX182R,YAGEO@RC0805FR-07182RL,RESISTOR CHIP 1% 182OHM 0805,(1),0.0025,=C8*I8,IRRIGATE7
5,R6,1,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C9*I9,IRRIGATE7
6,U1,1,U-7400,74LVC07A,DIODES@74LVC07AS14-13,LOGIC BUFFER OPEN DRAIN 14SOIC,(1),0.1978,=C10*I10,ADPT
7,U2,1,U-TRANSCEIVER,THVD1500,TI@THVD1500DR,TRANSCEIVER RS485 5V HALFDPLX 8SOIC,,1.2567,=C11*I11,RPUPI
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
