LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,Buck SMD,,,TOTAL,
,,,,,,8/15/20 (20226^0) ,,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C2 C5 C6 C7 C8,6,C-C,1206X5R50V106K,MURATA@GRT31CR61H106ME01L ,CAP CER 10UF 50V 20% X5R 1206,(1),.2334,=C5*I5,CC01
2,C3,1,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C6*I6,ADPT
3,C4,1,C-C,0603X7R50V103K,MURATA@GRM188R71H103KA01J,CAP CER 10000PF 50V 10% X7R 0603,(1),0.007,=C7*I7,HT
4,L1,1,L-PSMD,4U7H5A5,BOURNS@SRP7030-4R7M,INDUCTOR POWER SHIELDED 4U7H 5A5 SMD,(1 2),1.37,=C8*I8,BUCK
5,R1 R2,2,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C19*I19,IRRIGATE7
6,R2,1,R-C,0805KX1802,YAGEO@RC0805FR-0718K0L,RESISTOR CHIP 1% 18K0OHM 0805,(1),0.0064,=C10*I10,NOTUSED
7,U1,1,U-LINEAR,AP64352Q,DIODES@AP64352QSP-13,DCDC CONV BUCK POL SO-8EP,(1),1.8740,=C11*I11,LUX
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
