;;;;;;Select 1 of 8 Current Loops, BOM
;;;;;;semicolon separated values in text file, import into LibreOffice Calc;;;TOTAL
;;;;;;10/4/16 16276^0 Preliminary;;;=SUM(J7:J100)


LINE; REF; QTY; EPCCS TYP;EPCCS PN;MFG,PN; DESCRIPTION; NOTES; COST EA; LINE COST;BIN
1;C1;1;C-C;0603X7R50V104K;TDK,C1608X7R1H104K080AA;CAP CER 0,1UF 50V 10% X7R 0603;(1);0.1;=C7*I7;ADPT
2;J1;=1*3/16;J-HDR3.5mm;PST1,0&16-3,5;PHOENIX CONTACT,1945232;CONN HEADER STRIP PIN 3 OF 16POS 3.5MM;(6,2);1.13;=C8*I8;SHLD
3;J2,J3;=2*5/16;J-HDR3.5mm;PST1,0&16-3,5;PHOENIX CONTACT,1945232;CONN HEADER STRIP PIN 5 OF 16POS 3.5MM;(6,2);1.13;=C9*I9;SHLD
4;J4;=1*5/36;J-HDR2.54mm;PBC36DAAN;SULLINS,PBC36DAAN;HEADER MALE BRKWAY 5 OF 36X2POS .1IN AA;(1,4);4.22;=C10*I10;IRRIGATE7
5;Q1,Q4,Q7,Q10,Q13,Q16,Q19,Q22;8;Q-NPN;K1N;DIODES,MMBT3904-7-F;TRANSISTOR NPN GP 40V 200MA SOT23;(1);0.12;=C11*I11;IRRIGATE7
6;Q2,Q5,Q8,Q11,Q14,Q17,Q20,Q23;8;Q-PCH;K84;DIODES,BSS84-7-F;MOSFET P-CH 130MA 50V SOT23;(1);0.30;=C12*I12;IRRIGATE7
7;Q3,Q6,Q9,Q12,Q15,Q18,Q21,Q24;8;Q-NCH;K38;DIODES,BSS138-7-F;MOSFET N-CH 200MA 50V SOT23;(1);0.28;=C13*I13;ADPT
8;R1,R2,R3,R4,R5,R6,R10,R11;8;R-C;0805KX1003;YAGEO,RC0805FR-07100KL;RESISTOR CHIP 1% 100KOHM 0805;(1);0.01;=C14*I14;IRRIGATE7
9;R7,R8,R9;3;R-C;0805KX1002;YAGEO,RC0805FR-0710KL;RESISTOR CHIP 1% 10KOHM 0805;(1);0.01;=C15*I15;ADPT
10;U1;1;U-7400;74HC238;TI,CD74HC238M;LOGIC 3TO8 NOT DECODER DEMUX 16SOIC;(1);0.54;=C16*I16;PDAQ
11;HW1,HW2;2;HW-DINMNT;USA10-4,6;PHXCONT,1201578;DINRAIL ADAPTER UNIVERSAL 10MM 2.75MM;(1);1.21;=C17*I17;SHLD
12;;4;HW-SCREW;ZN6PSMS38;B&F,PSMS 006 0038 PH;PAN SHT MTL SCREW #6 PHP .38L ZN;(1);0.15;=C18*I18;SHLD
13;;1;J-HDR3.5mm;PT1.5/3-PVH-3.5;PHOENIX CONTACT,1984028;CONN PLUG STRIP 3POS 3.5MM;(2,6);0.60;=C19*I19;SHLD
14;;2;J-HDR3.5mm;PT1.5/5-PVH-3.5;PHOENIX CONTACT,1984073;CONN PLUG STRIP 5POS 3.5MM;(2,6);0.98;=C20*I20;SHLD

NOTES
(1);Alternate part with same or better rating allowed.
(2);for x in ("2","4","6","8"): print ("PST 1,0/" + x + "-3,5 mates with PT 1,5/" + x + "-PVH-3,5")
(4);Cut 36 pin to needed size
(6);Cut 16 pin to needed size
