LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,ICSP Headers,,,TOTAL,
,,,,,,4/21/19 (15321^2),,,=SUM(J5:J100),
,,,,,,,,,,
1,D1 D2,2,D-LED,5MMGN,CREE@C503B-GCN-CY0C0791,LED GREEN 5MM 3.2V@20MA,(1),0.21,=C5*I5,ONESHOT
2,D3,1,D-LED,5MMRD,CREE@C503B-RCN-CW0Z0AA1,LED RED 5MM 2.1V@20MA,(1),0.1290,=C6*I6,ONESHOT
3,D4,1,D-LED,5MMYE,CREE@C503B-AAN-CA0B0342,LED AMBER 5MM 2.1V@20MA,(1),0.1342,=C7*I7,SHOP
4,S1 S2 S3,3,S-TACTILE,KSA0M311,C&K@KSA0M311LFT,SWITCH TACTILE SEALED SPST-NO 50MA 32V THRU,(1),0.54,=C8*I8,RPUPI
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
