LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,ICSP Probe Pins,,,TOTAL,
,,,,,,4/15/19 (15321^2),,,=SUM(J5:J100),
,,,,,,,,,,
1,J1,0,J-HDR2.54mm,PPPC081LFBN,SULLINS@PPPC081LFBN-RC,CONN HEADER FEMALE .1IN 8POS,(2),0.518,=C9*I9,IRRIGATE7
2,J2,0,J-HDR2.54mm,PPPC032LFBN,SULLINS@PPPC032LFBN-RC,CONN HEADER FEMALE .1IN 3X2POS,(2),.5968,=C10*I10,RPUPI
3,,12,J-ICT100,ICT-100-T-6.7,IDI@ICT-100-T-6.7-G S/C,PROBE ICT100 CHISELED 60DEG ,(1),=1.31,=C5*I5,SHOP
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(2) Headers are for referance,,,,
