LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,ICSP SMD,,,TOTAL,
,,,,,,4/21/19 (15321^2) ,,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C2 C3,2,C-C,0603X7R50V104K,YAGEO@CC0603KRX7R9BB104,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,C4,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C6*I6,ADPT
3,Q1 Q2 Q3 Q4,4,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0204,=C7*I7,HT
4,Q5,1,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C8*I8,IRRIGATE7
5,R1 R2 R3 R5 R6 R8 R12 R19 R R R R R,13,R-C,0805KX3011,YAGEO@RC0805FR-073K01L,RESISTOR CHIP 1% 3K01OHM 0805,(1),0.0064,=C9*I9,ADPT
6,R4,1,R-C,0805KX32R4,YAGEO@RC0805FR-0732R4L,RESISTOR CHIP 1% 32R4OHM 0805,(1),0.0064,=C10*I10,RPUNO
7,R7 R11 R18 R21 R22,5,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C11*I11,ADPT
8,R9,0,,OPEN,,,,0.0,=C12*I12,NA
9,R10 R13 R20,3,R-C,0805KX1004,YAGEO@RC0805FR-071ML,RESISTOR CHIP 1% 1MOHM 0805,(1),0.1,=C13*I13,MT
10,R14 R16 R17,3,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C14*I14,IRRIGATE7
11,R415,0,,JMP,,,,0.0,=C16*I16,NA
12,U1 U2,2,U-7400,74LVC07A,DIODES@74LVC07AS14-13,LOGIC BUFFER OPEN DRAIN 14SOIC,(1),0.4,=C17*I17,ADPT
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
