;;;;;;Latching Solinoid Driver, BOM
;;;;;;semicolon separated values in text file, import into LibreOffice Calc;;;TOTAL
;;;;;;10/4/16 16276^0 Preliminary;;;=SUM(J7:J100)


LINE; REF; QTY; EPCCS TYP;EPCCS PN;MFG,PN; DESCRIPTION; NOTES; COST EA; LINE COST;BIN
1;C1,C3,C6;3;C-C;0603X7R50V104K;TDK,C1608X7R1H104K080AA;CAP CER 0,1UF 50V 10% X7R 0603;(1);0.1;=C7*I7;ADPT
2;C2;1;C-C;0603NPO50V331J;TDK,C1608C0G1H331J080AA;CAP CER 330PF 50V 5% NPO 0603;(1);0.1;=C8*I8;IRRIGATE7
3;C4;1;C-AL;PW1J222;NICHICON,UPW1J222MHD;CAP ALUM 63V 2200UF 20% RADIAL;(1);3.09;=C9*I9;IRRIGATE7
4;C5;1;C-C;0603X7R50V103K;MURATA,GRM188R71H103KA01J;CAP CER 10000PF 50V 10% X7R 0603;(1);0.1;=C10*I10;HT
5;D1;1;D-SBR;SQ4;DIODES,SBR2A40SA;DIODE SBR 40V 2A SMA;(1);0.45;=C11*I11;CC01
6;D2;1;D-GP;T4;DIODES,1N4148W-7-F;DIODE SWITCH 100V 0.15A SOD123;(1);0.17;=C12*I12;CC01
7;D3;1;D-LED;0805RD;OSRAM,LS R976-NR-1;LED RED 2V@20MA 0805;(1);0.28;=C13*I13;ADPT
8;J1;=1*4/16;J-HDR3.5mm;PST1,0&16-3,5;PHOENIX CONTACT,1945232;CONN HEADER STRIP PIN 4 OF 16POS 3.5MM;(6,2);1.13;=C14*I14;SHLD
9;J2;=1*8/16;J-HDR3.5mm;PST1,0&16-3,5;PHOENIX CONTACT,1945232;CONN HEADER STRIP PIN 8 OF 16POS 3.5MM;(6,2);1.13;=C15*I15;SHLD
10;J3;=1*3/36;J-HDR2.54mm;PBC36SAAN;SULLINS,PBC36SAAN;HEADER MALE BRKWAY 3 OF 36POS .1IN AA;(4);2.34;=C16*I16;SHLD
11;L1;1;L-PWR;150UH0A3;BOURNS,SRR0604-151KL;INDUCTOR POWER SHIELDED 150UH SMD;(1);0.79;=C17*I17;IRRIGATE7
12;Q1,Q6,Q7,Q8,Q9,Q13,Q14,Q15,Q21;9;Q-NPN;K1N;DIODES,MMBT3904-7-F;TRANSISTOR NPN GP 40V 200MA SOT23;(1);0.12;=C18*I18;IRRIGATE7
13;Q2,Q4,Q10,Q18,Q22;5;Q-PCH;DMB;DIODES,DMP3098L-7;MOSFET P-CH 3.8A 30V SOT23;(1);0.29;=C19*I19;FTDI
14;Q3,Q11,Q12,Q23;4;Q-NCH;34N;DIODES,DMN3404L-7;MOSFET N-CH 5.8A 30V SOT23;(1);0.29;=C20*I20;IRRIGATE7
15;Q5,Q19,Q20;3;Q-PNP;K3N;DIODES,MMBT3906-7-F;TRANSISTOR PNP GP 40V 200MA SOT23;(1);0.12;=C21*I21;HT
16;Q16,Q17;2;Q-NCH;K38;DIODES,BSS138-7-F;MOSFET N-CH 200MA 50V SOT23;(1);0.28;=C22*I22;ADPT
17;Q24;1;Q-PCH;K84;DIODES,BSS84-7-F;MOSFET P-CH 130MA 50V SOT23;(1);0.30;=C23*I23;IRRIGATE7
18;R1,R11,R12,R15,R22,R29;6;R-C;0805KX1002;YAGEO,RC0805FR-0710KL;RESISTOR CHIP 1% 10KOHM 0805;(1);0.01;=C24*I24;ADPT
