LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,K3 SMD,,,TOTAL,
,,,,,,2/16/19 (16276^2) ,,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C4 C5,3,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,C2,1,C-AL,295R35V228,NICHICON@UVR1V222MHD,CAP ALUM 35V 2200UF 20% RADIAL,(1),0.785,=C6*I6,IRRIGATE7
3,C3,1,C-C,0603NPO50V331J,TDK@C1608C0G1H331J080AA,CAP CER 330PF 50V 5% NPO 0603,(1),0.0225,=C7*I7,IRRIGATE7
4,D1,1,D-SBR,SQ4,DIODES@SBR2A40SA,DIODE SBR 40V 2A SMA,(1),0.289,=C8*I8,CC01
5,D2,1,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C9*I9,CC01
6,D3,1,D-LED,0805RD,OSRAM@LS R976-NR-1,LED RED 2V@20MA 0805,(1),0.119,=C10*I10,ADPT
7,L1,1,L-PWR,150UH0A3,BOURNS@SRR0604-151KL,INDUCTOR POWER SHIELDED 150UH SMD,(1),0.704,=C11*I11,IRRIGATE7
8,Q1 Q6 Q7 Q8 Q10 Q14 Q15 Q16 Q22,9,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C12*I12,IRRIGATE7
9,Q2 Q4 Q11 Q19 Q23,5,Q-PCH,DMB,DIODES@DMP3098L-7,MOSFET P-CH 3.8A 30V SOT23,(1),0.1482,=C13*I13,FTDI
10,Q3 Q12 Q13 Q24,4,Q-NCH,34N,DIODES@DMN3404L-7,MOSFET N-CH 5.8A 30V SOT23,(1),0.1351,=C14*I14,IRRIGATE7
11,Q5 Q20 Q21,3,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0247,=C15*I15,HT
12,Q17 Q18 Q26,3,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.0657,=C16*I16,ADPT
13,Q9 Q25,2,Q-PCH,K84,DIODES@BSS84-7-F,MOSFET P-CH 130MA 50V SOT23,(1),0.1614,=C17*I17,IRRIGATE7
14,R1 R12 R13 R16 R23 R28 R32 R33 R34,9,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C18*I18,ADPT
15,R2 R3 R4 R5 R6 R7 R8 R9 R10 R14 R15 R17 R18 R24 R25 R26,16,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C19*I19,IRRIGATE7
16,R11 R22,2,R-C,0805KX4992,YAGEO@RC0805FR-0749K9L,RESISTOR CHIP 1% 49K9OHM 0805,(1),0.0064,=C20*I20,IRRIGATE7
17,R19,1,R-C,0805KX182R,YAGEO@RC0805FR-07182RL,RESISTOR CHIP 1% 182OHM 0805,(1),0.0025,=C21*I21,IRRIGATE7
18,R20,1,R-C,1210KX1R00,STACKPOLE@RMCF1210FT1R00,RESISTOR CHIP 1% 1OHM 1210,(1),0.0473,=C22*I22,IRRIGATE7
19,R21,1,R-C,0805KX32R4,YAGEO@RC0805FR-0732R4L,RESISTOR CHIP 1% 32R4OHM 0805,(1),0.0064,=C23*I23,RPUNO
20,R27,1,R-C,0805KX1582,YAGEO@RC0805FR-0715K8L,RESISTOR CHIP 1% 15K8OHM 0805,(1),0.0064,=C24*I24,IRRIGATE7
21,R29,1,R-C,0805KX8451,YAGEO@RC0805FR-078K45L,RESISTOR CHIP 1% 8K45OHM 0805,(1),0.0064,=C25*I25,IRRIGATE7
22,R30,1,R-C,0805KX4322,YAGEO@RC0805FR-0743K2L,RESISTOR CHIP 1% 43K2OHM 0805,(1),0.0064,=C26*I26,IRRIGATE7
23,U1,1,U-BOOST,MC34063A,TI@MC34063ADR,BOOST REGULATOR 3-40VIN 2-40VOUT 1.5A 8SOIC,(1),0.541,=C27*I27,IRRIGATE7
24,U2,1,U-7400,74HC238,TI@CD74HC238M,LOGIC 3TO8 NOT DECODER DEMUX 16SOIC,(1),0.3461,=C28*I28,PDAQ
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
