LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,PVsw SMD,,,TOTAL,
,,,,,,3/15/18 (18074^0) ,,,=SUM(J5:J100),
,,,,,,,,,,
1,C1,1,C-C,0603X7R50V104K,YAGEO@CC0603KRX7R9BB104,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,C2,1,C-C,0805X7R50V105K,TAIYO@UMK212B7105KG-T,CAP CER 1UF 50V 10% X7R 0805,(1),0.136,=C6*I6,CC01
3,D1,1,D-SBR,MBRD1045,ON@MBRD1045T4G,DIODE SCHOTTKY 45V 10A DPAK,(1),0.91,=C7*I7,PVSW
4,Q1 Q3,2,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0204,=C8*I8,HT
5,Q2 Q5,2,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C9*I9,IRRIGATE7
6,Q4,1,Q-PCH,IRFR5305,INFINEON@IRFR5305TRPBF,MOSFET P-CH 31A 55V DPAK,(1),0.8780,=C10*I10,PVSW
7,Q6,1,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.1132,=C11*I11,ADPT
8,R1,1,R-C,0805FX1003,YAGEO@RT0805BRD07100KL,RESISTOR CHIP 0.1% 100KOHM 0805,(1),0.1277,=C12*I12,LUX
9,R2 R7 R8,3,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C13*I13,ADPT
10,R3 R4,2,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C14*I14,IRRIGATE7
11,R5,1,R-C,0805KX1001,YAGEO@RC0805FR-071KL,RESISTOR CHIP 1% 1KOHM 0805,(1),0.0025,=C15*I15,HT
12,R6,1,R-C,0805KX0R018,SUSUMU@KRL1220E-M-R018-F-T5,RESISTOR CHIP 1% 0R018OHM 0805,(7),0.2532,=C16*I16,PVSW
13,U1,1,U-LINEAR,1087,DIODES@ZXCT1087E5TA,HISIDE CURRENT MONITOR SOT23-5,(1),1.0661,=C17*I17,CCTEST
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
