LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,PWM SMD,,,TOTAL,
,,,,,,4/12/19 (19099^0) ,,,=SUM(J5:J100),
,,,,,,,,,,
1,C1,1,C-C,1206X5R50V106K,TDK@C3216X5R1H106K160AB,CAP CER 10UF 50V 10% X5R 1206,(1),.3575,=C5*I5,CC01
2,C2 C3,2,C-C,0603X7R50V104K,YAGEO@CC0603KRX7R9BB104,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C6*I6,ADPT
3,Q1,1,Q-PCH,P65,DIODES@DMP4065S-7,MOSFET P-CH 2.4A 40V SOT23,(1),0.2196,=C7*I7,PUNICA
4,Q2 Q3 Q7 Q13 Q14 Q15 Q21 Q22 Q23 Q29 Q32 Q35 Q36 Q41 Q42 Q47 Q50,17,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C8*I8,IRRIGATE7
5,Q4 Q5 Q6 Q8 Q9 Q10 Q11 Q12 Q16 Q17 Q18 Q19 Q20 Q24 Q25 Q26 Q27 Q28 Q30 Q31 Q33 Q34 Q37 Q38 Q39 Q40 Q43 Q44 Q45 Q46 Q48 Q49 Q51 Q52,34,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0204,=C9*I9,HT
6,R1,1,R-C,0805KX1001,YAGEO@RC0805FR-071KL,RESISTOR CHIP 1% 1KOHM 0805,(1),0.0025,=C10*I10,HT
7,R2 R6 R10 R11 R12 R18 R19 R25 R28 R32 R33 R34 R39 R40 R41 R50 R53,17,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C11*I11,IRRIGATE7
8,R3 R7 R13 R14 R15 R20 R21 R22 R26 R29 R35 R36 R42 R43 R51 R54,16,R-C,0805KX4992,YAGEO@RC0805FR-0749K9L,RESISTOR CHIP 1% 49K9OHM 0805,(1),0.0025,=C12*I12,IRRIGATE7
9,R4 R5 R8 R9 R16 R17 R23 R24 R27 R30 R37 R38 R44 R45 R52 R55,16,R-C,0805KX27R0,YAGEO@RC0805FR-0727R0L,RESISTOR CHIP 1% 27R0OHM 0805,(1),0.0064,=C13*I13,FTDI
10,R31,1,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C14*I14,ADPT
11,R46 R47,0,,OPEN,,,,0.0,=C15*I15,NA
12,R48 R49,0,,JMP,,,,0.0,=C16*I16,NA
13,U1,1,U-LINEAR,PCA9685,NXP@PCA9685PW,PWM LED DRIVER 28TSSOP,(1),2.46,=C17*I17,PWM
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
