LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,USBuart Headers,,,TOTAL,
,,,,,,8/12/18 (18066^1),,,=SUM(J5:J100),
,,,,,,,,,,
1,D1,1,D-LED,5MMRD,CREE@C503B-RCN-CW0Z0AA1,LED RED 5MM 2.1V@20MA,(1),0.1290,=C5*I5,ONESHOT
2,D2,1,D-LED,5MMYE,CREE@C503B-AAN-CA0B0342,LED AMBER 5MM 2.1V@20MA,(1),0.1342,=C6*I6,SHOP
3,D3,1,D-LED,5MMGN,CREE@C503B-GCN-CY0C0791,LED GREEN 5MM 3.2V@20MA,(1),0.21,=C7*I7,ONESHOT
4,J1,1,J-USB,B,MOLEX@0670688000,USB B THROUGH HOLE,(1),1.199,=C8*I8,FTDI
5,J2,1,J-HDR2.54mm,PPPC081LFBN,SULLINS@PPPC081LFBN-RC,CONN HEADER FEMALE .1IN 8POS,(1),0.518,=C9*I9,IRRIGATE7
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
