LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,USBuart SMD,,,TOTAL,
,,,,,,8/12/18 (18066^1) ,,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C5 C6 C7,4,C-C,0603X7R50V104K,YAGEO@CC0603KRX7R9BB104,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,C2,1,C-C,1206X7R50V475K,TAIYO@UMK316AB7475KL-T,CAP CER 4.7UF 50V 10% X7R 1206,(1),.1150,=C6*I6,FTDI
3,C3 C4,2,C-C,0603NPO50V470J,TDK@C1608C0G1H470J080AA,CAP CER 47PF 50V 5% NPO 0603,(1),0.0067,=C7*I7,FTDI
4,F1,1,F-RST,bM,BEL@0ZCJ0050FF2G,FUSE RESETTABLE 500MA 8V 1206,(1),0.1037,=C8*I8,FTDI
5,L1,1,L-FB,MH2029-300Y,BORNS@MH2029-300Y,FERRITE SMDBEAD 30OHM@100MHZ 3A 0805,(1),0.0301,=C9*I9,FTDI
6,Q1 Q2,2,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0204,=C10*I10,HT
7,R1 R2,2,R-C,0805KX27R0,YAGEO@RC0805FR-0727R0L,RESISTOR CHIP 1% 27R0OHM 0805,(1),0.0064,=C11*I11,FTDI
8,R3 R4 R5 R6 R7 R8 R9 R11 R12,9,R-C,0805KX3011,YAGEO@RC0805FR-073K01L,RESISTOR CHIP 1% 3K01OHM 0805,(1),0.0064,=C12*I12,ADPT
9,R10,1,R-C,0805KX32R4,YAGEO@RC0805FR-0732R4L,RESISTOR CHIP 1% 32R4OHM 0805,(1),0.0064,=C13*I13,RPUNO
10,,0,,OPEN,,,,0.0,=C14*I14,NA
11,R13,0,,JMP,,,,0.0,=C15*I15,NA
12,R14,1,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C16*I16,ADPT
13,U1,1,U-TRANSCEIVER,FT231XS,FTDI@FT231XS-R,TRANSCEIVER USB UART 20SSOP,(1),2.12,=C17*I17,FTDI
14,U2,1,U-7400,74LVC07A,DIODES@74LVC07AS14-13,LOGIC BUFFER OPEN DRAIN 14SOIC,(1),0.1978,=C18*I18,ADPT
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
